binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 85|, Acc: 88.45866394042969%s (VN: 29799.0 VP: 32935.0 FN: 1318.0 FP: 6867.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 103|, Acc: 94.51909637451172%s (VN: 34098.0 VP: 32934.0 FN: 1319.0 FP: 2568.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 98|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 108|, Acc: 97.34909057617188%s (VN: 35205.0 VP: 33834.0 FN: 419.0 FP: 1461.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 69|, Acc: 51.719566345214844%s (VN: 23474.0 VP: 13205.0 FN: 21048.0 FP: 13192.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 83|, Acc: 86.93579864501953%s (VN: 27812.0 VP: 33842.0 FN: 411.0 FP: 8854.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 94|, Acc: 97.32793426513672%s (VN: 35190.0 VP: 33834.0 FN: 419.0 FP: 1476.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 90|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 113|, Acc: 97.19962310791016%s (VN: 35095.0 VP: 33838.0 FN: 415.0 FP: 1571.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 65|, Acc: 52.34140396118164%s (VN: 29750.0 VP: 7370.0 FN: 26883.0 FP: 6916.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 72|, Acc: 86.79197692871094%s (VN: 27706.0 VP: 33846.0 FN: 407.0 FP: 8960.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 91|, Acc: 97.19962310791016%s (VN: 35095.0 VP: 33838.0 FN: 415.0 FP: 1571.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 91|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 124|, Acc: 94.300537109375%s (VN: 34751.0 VP: 32126.0 FN: 2127.0 FP: 1915.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 86|, Acc: 74.15079498291016%s (VN: 24319.0 VP: 28268.0 FN: 5985.0 FP: 12347.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 100|, Acc: 88.28522491455078%s (VN: 34293.0 VP: 28318.0 FN: 5935.0 FP: 2373.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 111|, Acc: 96.61444854736328%s (VN: 34680.0 VP: 33838.0 FN: 415.0 FP: 1986.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 92|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 126|, Acc: 97.46894073486328%s (VN: 35294.0 VP: 33830.0 FN: 423.0 FP: 1372.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 78|, Acc: 71.2742691040039%s (VN: 24734.0 VP: 25813.0 FN: 8440.0 FP: 11932.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 84|, Acc: 86.40985107421875%s (VN: 30330.0 VP: 30951.0 FN: 3302.0 FP: 6336.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 110|, Acc: 97.46753692626953%s (VN: 35293.0 VP: 33830.0 FN: 423.0 FP: 1373.0)
